"Index","Section","Title","Url","ImageUrl","ImagePath","Status"
"1","사용성·기능 측면","Vista Voyage - Travel Agency Website :: Behance","https://www.behance.net/gallery/254259939/Vista-Voyage-Travel-Agency-Website?tracking_source=for_you_logged_in_feed_recommended_tag","https://mir-s3-cdn-cf.behance.net/projects/max_808/0eb6bd254259939.Y3JvcCwxMDYzLDgzMiwxODYsMA.png","C:\Users\dksdl\Documents\GitHub\PDE_TEST\.codex\tmp-reference-review\love60\01.png","OK"
"2","사용성·기능 측면","Stay - Product Platform Redesign (12) | Images :: Behance","https://www.behance.net/gallery/249142983/Stay-Product-Platform-Redesign/modules/1448914883","https://mir-s3-cdn-cf.behance.net/project_modules/1400/a6794e249142983.6a1542834a719.png","C:\Users\dksdl\Documents\GitHub\PDE_TEST\.codex\tmp-reference-review\love60\02.png","OK"
"3","사용성·기능 측면","KakaoBank Careers Website :: Behance","https://www.behance.net/gallery/248908053/KakaoBank-Careers-Website","https://mir-s3-cdn-cf.behance.net/project_modules/1400/357a36248908053.6a03e286736f1.jpg","C:\Users\dksdl\Documents\GitHub\PDE_TEST\.codex\tmp-reference-review\love60\03.jpg","OK"
"4","사용성·기능 측면","A24 - UXUI Design :: Behance","https://www.behance.net/gallery/239608999/A24-UXUI-Design","https://mir-s3-cdn-cf.behance.net/project_modules/1400/69c925239608999.6a3c13d5673f2.png","C:\Users\dksdl\Documents\GitHub\PDE_TEST\.codex\tmp-reference-review\love60\04.png","OK"
"5","사용성·기능 측면","GDWEB:선정작:원안과","https://www.gdweb.co.kr/sub/view.asp?displayrow=60&Txt_key=all&Txt_word=&Txt_agnumber=&Txt_fgbn=5&Txt_bcode1=&Txt_gbflag=&Txt_bcode2=&Txt_bcode3=&Txt_bcode4=&Txt_bcode5=&Page=2&str_no=27134","https://www.gdweb.co.kr/sub/filedata.asp?str_no=27134&sgbn=1","C:\Users\dksdl\Documents\GitHub\PDE_TEST\.codex\tmp-reference-review\love60\05.jpg","OK"
"6","사용성·기능 측면","두런두런 | 친구와 쌓아가는 러닝 인증 서비스 :: Behance","https://www.behance.net/gallery/237957953/_","https://mir-s3-cdn-cf.behance.net/project_modules/1400/439681237957953.6925b4c981a4e.png","C:\Users\dksdl\Documents\GitHub\PDE_TEST\.codex\tmp-reference-review\love60\06.png","OK"
"7","사용성·기능 측면","GDWEB 26725","https://www.gdweb.co.kr/sub/filedata.asp?str_no=26725&sgbn=1","https://www.gdweb.co.kr/sub/filedata.asp?str_no=26725&sgbn=1","C:\Users\dksdl\Documents\GitHub\PDE_TEST\.codex\tmp-reference-review\love60\07.jpg","OK"
"8","사용성·기능 측면","GDWEB:선정작:HCT","https://www.gdweb.co.kr/sub/view.asp?displayrow=60&Txt_key=all&Txt_word=&Txt_agnumber=&Txt_fgbn=5&Txt_bcode1=&Txt_gbflag=&Txt_bcode2=&Txt_bcode3=&Txt_bcode4=&Txt_bcode5=&Page=5&str_no=26475","https://www.gdweb.co.kr/sub/filedata.asp?str_no=26475&sgbn=1","C:\Users\dksdl\Documents\GitHub\PDE_TEST\.codex\tmp-reference-review\love60\08.jpg","OK"
"9","사용성·기능 측면","GDWEB:선정작:LG CNS","https://www.gdweb.co.kr/sub/view.asp?displayrow=60&Txt_key=all&Txt_word=&Txt_agnumber=&Txt_fgbn=5&Txt_bcode1=&Txt_gbflag=&Txt_bcode2=&Txt_bcode3=&Txt_bcode4=&Txt_bcode5=&Page=6&str_no=26045","https://www.gdweb.co.kr/sub/filedata.asp?str_no=26045&sgbn=1","C:\Users\dksdl\Documents\GitHub\PDE_TEST\.codex\tmp-reference-review\love60\09.jpg","OK"
"10","사용성·기능 측면","GDWEB:선정작:Carbonomy - AI Carbon Solution","https://www.gdweb.co.kr/sub/view.asp?displayrow=60&Txt_key=all&Txt_word=&Txt_agnumber=&Txt_fgbn=5&Txt_bcode1=&Txt_gbflag=&Txt_bcode2=&Txt_bcode3=&Txt_bcode4=&Txt_bcode5=&Page=7&str_no=25883","https://www.gdweb.co.kr/sub/filedata.asp?str_no=25883&sgbn=1","C:\Users\dksdl\Documents\GitHub\PDE_TEST\.codex\tmp-reference-review\love60\10.jpg","OK"
"11","사용성·기능 측면","GDWEB:선정작:씨네큐브","https://www.gdweb.co.kr/sub/view.asp?displayrow=60&Txt_key=all&Txt_word=&Txt_agnumber=&Txt_fgbn=5&Txt_bcode1=&Txt_gbflag=&Txt_bcode2=&Txt_bcode3=&Txt_bcode4=&Txt_bcode5=&Page=7&str_no=25864","https://www.gdweb.co.kr/sub/filedata.asp?str_no=25864&sgbn=1","C:\Users\dksdl\Documents\GitHub\PDE_TEST\.codex\tmp-reference-review\love60\11.jpg","OK"
"12","사용성·기능 측면","GDWEB:선정작:롯데재단","https://www.gdweb.co.kr/sub/view.asp?displayrow=60&Txt_key=all&Txt_word=&Txt_agnumber=&Txt_fgbn=5&Txt_bcode1=&Txt_gbflag=&Txt_bcode2=&Txt_bcode3=&Txt_bcode4=&Txt_bcode5=&Page=9&str_no=25245","https://www.gdweb.co.kr/sub/filedata.asp?str_no=25245&sgbn=1","C:\Users\dksdl\Documents\GitHub\PDE_TEST\.codex\tmp-reference-review\love60\12.jpg","OK"
"13","사용성·기능 측면","GDWEB:선정작:숲소리","https://www.gdweb.co.kr/sub/view.asp?displayrow=60&Txt_key=all&Txt_word=&Txt_agnumber=&Txt_fgbn=5&Txt_bcode1=&Txt_gbflag=&Txt_bcode2=&Txt_bcode3=&Txt_bcode4=&Txt_bcode5=&Page=9&str_no=25352","https://www.gdweb.co.kr/sub/filedata.asp?str_no=25352&sgbn=1","C:\Users\dksdl\Documents\GitHub\PDE_TEST\.codex\tmp-reference-review\love60\13.jpg","OK"
"14","사용성·기능 측면","GDWEB:선정작:전국은행연합회 ESG","https://www.gdweb.co.kr/sub/view.asp?displayrow=60&Txt_key=all&Txt_word=&Txt_agnumber=&Txt_fgbn=5&Txt_bcode1=&Txt_gbflag=&Txt_bcode2=&Txt_bcode3=&Txt_bcode4=&Txt_bcode5=&Page=17&str_no=23304","https://www.gdweb.co.kr/sub/filedata.asp?str_no=23304&sgbn=1","C:\Users\dksdl\Documents\GitHub\PDE_TEST\.codex\tmp-reference-review\love60\14.jpg","OK"
"15","사용성·기능 측면","GDWEB:선정작:케이스랩","https://www.gdweb.co.kr/sub/view.asp?displayrow=60&Txt_key=all&Txt_word=&Txt_agnumber=&Txt_fgbn=5&Txt_bcode1=&Txt_gbflag=&Txt_bcode2=&Txt_bcode3=&Txt_bcode4=&Txt_bcode5=&Page=18&str_no=22862","https://www.gdweb.co.kr/sub/filedata.asp?str_no=22862&sgbn=1","C:\Users\dksdl\Documents\GitHub\PDE_TEST\.codex\tmp-reference-review\love60\15.jpg","OK"
"16","사용성·기능 측면","Trémoille – men's perfume landing page | UX/UI :: Behance","https://www.behance.net/gallery/247248467/Trmoille-mens-perfume-landing-page-UXUI?tracking_source=curated_galleries_ui-ux","https://mir-s3-cdn-cf.behance.net/project_modules/1400/be4187247248467.69d68affd2a92.png","C:\Users\dksdl\Documents\GitHub\PDE_TEST\.codex\tmp-reference-review\love60\16.png","OK"
"17","사용성·기능 측면","Chromia — Blockchain Identity, UX/UI & Marketing Design :: Behance","https://www.behance.net/gallery/234725045/Chromia-Blockchain-Identity-UXUI-Marketing-Design?tracking_source=curated_galleries_ui-ux","https://mir-s3-cdn-cf.behance.net/project_modules/1400/f5f6b1234725045.68f017b8db674.jpg","C:\Users\dksdl\Documents\GitHub\PDE_TEST\.codex\tmp-reference-review\love60\17.jpg","OK"
"18","사용성·기능 측면","LOOP — Fashion E-commerce, Branding & Web Design :: Behance","https://www.behance.net/gallery/241787329/LOOP-Fashion-E-commerce-Branding-Web-Design?tracking_source=curated_galleries_ui-ux","https://mir-s3-cdn-cf.behance.net/project_modules/1400/8d75b1241787329.6967c4e7f378b.jpg","C:\Users\dksdl\Documents\GitHub\PDE_TEST\.codex\tmp-reference-review\love60\18.jpg","OK"
"19","사용성·기능 측면","Bouclair Website :: Behance","https://www.behance.net/gallery/242845057/Bouclair-Website?tracking_source=curated_galleries_ui-ux","https://mir-s3-cdn-cf.behance.net/project_modules/1400/b92816242845057.6975531f7cbed.jpg","C:\Users\dksdl\Documents\GitHub\PDE_TEST\.codex\tmp-reference-review\love60\19.jpg","OK"
"20","사용성·기능 측면","GDWEB:선정작:위캔디오","https://www.gdweb.co.kr/sub/view.asp?Txt_fgbn=5&str_no=24915","https://www.gdweb.co.kr/sub/filedata.asp?str_no=24915&sgbn=1","C:\Users\dksdl\Documents\GitHub\PDE_TEST\.codex\tmp-reference-review\love60\20.jpg","OK"
"21","디자인 측면","PIT A PET","https://pitapet.imweb.me/","https://cdn-optimized.imweb.me/upload/S2023121337fac82ca76cb/071a4896d6490.png?w=800","C:\Users\dksdl\Documents\GitHub\PDE_TEST\.codex\tmp-reference-review\love60\21.png","OK"
"22","디자인 측면","shituationcomedy","https://shituationcomedy.codextyle.com/","https://cdn.imweb.me/thumbnail/20220203/6f36197bab70e.png","C:\Users\dksdl\Documents\GitHub\PDE_TEST\.codex\tmp-reference-review\love60\22.png","OK"
"23","디자인 측면","러쉬 LUSH 앱 리디자인 :: Behance","https://www.behance.net/gallery/236297067/-LUSH-","https://mir-s3-cdn-cf.behance.net/project_modules/1400/fc941e236297067.68e8ac0c20099.png","C:\Users\dksdl\Documents\GitHub\PDE_TEST\.codex\tmp-reference-review\love60\23.png","OK"
"24","디자인 측면","ììì¹","https://imweb.me/theme/?&utm_source=da_google&utm_medium=cpm&utm_campaign=bat-google-pmax_freetrial-conversion&utm_content=all-noncommerce_keyword-250822&gad_source=1&gad_campaignid=22777320630&gbraid=0AAAAADLx06z5NXjDFRxxlUdkRODei9Uid&gclid=Cj0KCQjw2_TQBhCnARIsAF3-XhydASGL9X8ycABrOWncKJPCGqiOOHBtHhf7-e7OF0eEIrLN9m0zjPwaAjCTEALw_wcB","https://vendor-cdn.imweb.me/images/main/imweb_2409_og_logo.png?v1","C:\Users\dksdl\Documents\GitHub\PDE_TEST\.codex\tmp-reference-review\love60\24.png","OK"
"25","디자인 측면","AZENTOS® — Branding Agency Landing Page :: Behance","https://www.behance.net/gallery/253480109/AZENTOS-Branding-Agency-Landing-Page?tracking_source=for_you_logged_in_feed_recommended_tag","https://mir-s3-cdn-cf.behance.net/project_modules/1400/fb32df253480109.6a6b2b4c447d7.png","C:\Users\dksdl\Documents\GitHub\PDE_TEST\.codex\tmp-reference-review\love60\25.png","OK"
"26","디자인 측면","Wink Smart Mobility Website Design & UI :: Behance","https://www.behance.net/gallery/254196221/Wink-Smart-Mobility-Website-Design-UI?tracking_source=for_you_logged_in_feed_recommended_tag","https://mir-s3-cdn-cf.behance.net/project_modules/1400/456332254196221.6a7f0a3c5fdef.png","C:\Users\dksdl\Documents\GitHub\PDE_TEST\.codex\tmp-reference-review\love60\26.png","OK"
"27","디자인 측면","Baek | Korean Bakery Branding :: Behance","https://www.behance.net/gallery/252626071/Baek-Korean-Bakery-Branding?tracking_source=for_you_logged_in_feed_recommended_similar_user","https://mir-s3-cdn-cf.behance.net/project_modules/1400/7f9590252626071.6a54ae6a3537f.jpg","C:\Users\dksdl\Documents\GitHub\PDE_TEST\.codex\tmp-reference-review\love60\27.jpg","OK"
"28","디자인 측면","GDWEB:선정작:비유","https://www.gdweb.co.kr/sub/view.asp?displayrow=60&Txt_key=all&Txt_word=&Txt_agnumber=&Txt_fgbn=5&Txt_bcode1=&Txt_gbflag=&Txt_bcode2=&Txt_bcode3=&Txt_bcode4=&Txt_bcode5=&Page=9&str_no=25339","https://www.gdweb.co.kr/sub/filedata.asp?str_no=25339&sgbn=1","C:\Users\dksdl\Documents\GitHub\PDE_TEST\.codex\tmp-reference-review\love60\28.jpg","OK"
"29","디자인 측면","GDWEB:선정작:뉴소스매거진","https://www.gdweb.co.kr/sub/view.asp?displayrow=60&Txt_key=all&Txt_word=&Txt_agnumber=&Txt_fgbn=5&Txt_bcode1=&Txt_gbflag=&Txt_bcode2=&Txt_bcode3=&Txt_bcode4=&Txt_bcode5=&Page=9&str_no=25355","https://www.gdweb.co.kr/sub/filedata.asp?str_no=25355&sgbn=1","C:\Users\dksdl\Documents\GitHub\PDE_TEST\.codex\tmp-reference-review\love60\29.jpg","OK"
"30","디자인 측면","GDWEB:선정작:백록담","https://www.gdweb.co.kr/sub/view.asp?displayrow=60&Txt_key=all&Txt_word=&Txt_agnumber=&Txt_fgbn=5&Txt_bcode1=&Txt_gbflag=&Txt_bcode2=&Txt_bcode3=&Txt_bcode4=&Txt_bcode5=&Page=1&str_no=27362","https://www.gdweb.co.kr/sub/filedata.asp?str_no=27362&sgbn=1","C:\Users\dksdl\Documents\GitHub\PDE_TEST\.codex\tmp-reference-review\love60\30.jpg","OK"
"31","디자인 측면","GDWEB:선정작:KT폰교체센터 웹사이","https://www.gdweb.co.kr/sub/view.asp?displayrow=60&Txt_key=all&Txt_word=&Txt_agnumber=&Txt_fgbn=5&Txt_bcode1=&Txt_gbflag=&Txt_bcode2=&Txt_bcode3=&Txt_bcode4=&Txt_bcode5=&Page=2&str_no=27179","https://www.gdweb.co.kr/sub/filedata.asp?str_no=27179&sgbn=1","C:\Users\dksdl\Documents\GitHub\PDE_TEST\.codex\tmp-reference-review\love60\31.jpg","OK"
"32","디자인 측면","GDWEB:선정작:잇다소프트","https://www.gdweb.co.kr/sub/view.asp?displayrow=60&Txt_key=all&Txt_word=&Txt_agnumber=&Txt_fgbn=5&Txt_bcode1=&Txt_gbflag=&Txt_bcode2=&Txt_bcode3=&Txt_bcode4=&Txt_bcode5=&Page=2&str_no=27108","https://www.gdweb.co.kr/sub/filedata.asp?str_no=27108&sgbn=1","C:\Users\dksdl\Documents\GitHub\PDE_TEST\.codex\tmp-reference-review\love60\32.jpg","OK"
"33","디자인 측면","GDWEB:선정작:현대얼터너티브","https://www.gdweb.co.kr/sub/view.asp?displayrow=60&Txt_key=all&Txt_word=&Txt_agnumber=&Txt_fgbn=5&Txt_bcode1=&Txt_gbflag=&Txt_bcode2=&Txt_bcode3=&Txt_bcode4=&Txt_bcode5=&Page=2&str_no=27103","https://www.gdweb.co.kr/sub/filedata.asp?str_no=27103&sgbn=1","C:\Users\dksdl\Documents\GitHub\PDE_TEST\.codex\tmp-reference-review\love60\33.jpg","OK"
"34","디자인 측면","Immersive website portfolio for developer :: Behance","https://www.behance.net/gallery/238189427/Immersive-website-portfolio-for-developer","https://mir-s3-cdn-cf.behance.net/project_modules/1400/983543238189427.690fb5f512f6b.png","C:\Users\dksdl\Documents\GitHub\PDE_TEST\.codex\tmp-reference-review\love60\34.png","OK"
"35","디자인 측면","GDWEB:선정작:아린엠에이치씨","https://www.gdweb.co.kr/sub/view.asp?displayrow=60&Txt_key=all&Txt_word=&Txt_agnumber=&Txt_fgbn=5&Txt_bcode1=&Txt_gbflag=&Txt_bcode2=&Txt_bcode3=&Txt_bcode4=&Txt_bcode5=&Page=5&str_no=26515","https://www.gdweb.co.kr/sub/filedata.asp?str_no=26515&sgbn=1","C:\Users\dksdl\Documents\GitHub\PDE_TEST\.codex\tmp-reference-review\love60\35.jpg","OK"
"36","디자인 측면","GDWEB:선정작:Saem.","https://www.gdweb.co.kr/sub/view.asp?displayrow=60&Txt_key=all&Txt_word=&Txt_agnumber=&Txt_fgbn=5&Txt_bcode1=&Txt_gbflag=&Txt_bcode2=&Txt_bcode3=&Txt_bcode4=&Txt_bcode5=&Page=6&str_no=26046","https://www.gdweb.co.kr/sub/filedata.asp?str_no=26046&sgbn=1","C:\Users\dksdl\Documents\GitHub\PDE_TEST\.codex\tmp-reference-review\love60\36.jpg","OK"
"37","디자인 측면","GDWEB:선정작:계림","https://www.gdweb.co.kr/sub/view.asp?displayrow=60&Txt_key=all&Txt_word=&Txt_agnumber=&Txt_fgbn=5&Txt_bcode1=&Txt_gbflag=&Txt_bcode2=&Txt_bcode3=&Txt_bcode4=&Txt_bcode5=&Page=7&str_no=26010","https://www.gdweb.co.kr/sub/filedata.asp?str_no=26010&sgbn=1","C:\Users\dksdl\Documents\GitHub\PDE_TEST\.codex\tmp-reference-review\love60\37.jpg","OK"
"38","디자인 측면","GDWEB:선정작:카름스테이","https://www.gdweb.co.kr/sub/view.asp?displayrow=60&Txt_key=all&Txt_word=&Txt_agnumber=&Txt_fgbn=5&Txt_bcode1=&Txt_gbflag=&Txt_bcode2=&Txt_bcode3=&Txt_bcode4=&Txt_bcode5=&Page=7&str_no=25853","https://www.gdweb.co.kr/sub/filedata.asp?str_no=25853&sgbn=1","C:\Users\dksdl\Documents\GitHub\PDE_TEST\.codex\tmp-reference-review\love60\38.jpg","OK"
"39","디자인 측면","GDWEB:선정작:조세마루","https://www.gdweb.co.kr/sub/view.asp?displayrow=60&Txt_key=all&Txt_word=&Txt_agnumber=&Txt_fgbn=5&Txt_bcode1=&Txt_gbflag=&Txt_bcode2=&Txt_bcode3=&Txt_bcode4=&Txt_bcode5=&Page=8&str_no=25746","https://www.gdweb.co.kr/sub/filedata.asp?str_no=25746&sgbn=1","C:\Users\dksdl\Documents\GitHub\PDE_TEST\.codex\tmp-reference-review\love60\39.jpg","OK"
